EPIC = 247887989
Telescope = Keck2_10m
Instrument = NIRC2
Filter = Br-gamma
Pixel_Scale [arsec/pix] = 0.009942
PSF_FWHM [arcsec] = 0.0504461
arcsec, dmag
0.00, 0.00
0.06, 2.53
0.10, 4.00
0.15, 5.37
0.20, 6.09
0.25, 6.70
0.30, 6.83
0.35, 7.14
0.40, 7.32
0.45, 7.60
0.51, 7.72
0.56, 7.78
0.61, 7.92
0.66, 8.08
0.71, 8.20
0.76, 8.30
0.81, 8.25
0.86, 8.30
0.91, 8.33
0.96, 8.36
1.01, 8.42
1.06, 8.40
1.11, 8.38
1.16, 8.39
1.21, 8.38
1.26, 8.43
1.31, 8.41
1.36, 8.44
1.41, 8.41
1.46, 8.41
1.51, 8.43
1.56, 8.42
1.61, 8.39
1.66, 8.40
1.72, 8.39
1.77, 8.39
1.82, 8.42
1.87, 8.38
1.92, 8.38
1.97, 8.40
2.02, 8.38
2.07, 8.36
2.12, 8.36
2.17, 8.36
2.22, 8.34
2.27, 8.32
2.32, 8.31
2.37, 8.32
2.42, 8.32
2.47, 8.31
2.52, 8.30
2.57, 8.27
2.62, 8.24
2.67, 8.28
2.72, 8.26
2.77, 8.26
2.83, 8.22
2.88, 8.20
2.93, 8.23
2.98, 8.24
3.03, 8.20
3.08, 8.21
3.13, 8.16
3.18, 8.16
3.23, 8.14
3.28, 8.15
3.33, 8.16
3.38, 8.11
3.43, 8.11
3.48, 8.11
3.53, 8.12
3.58, 8.09
3.63, 8.10
3.68, 8.09
3.73, 8.07
3.78, 8.08
3.83, 8.08
3.88, 8.08
