Property,b,c,d,01
Rp/Rs,0.0257,0.0315,0.0397,0.0362
Rp/Rs_u_err,0.0011,0.001,0.0008,0.0034
Rp/Rs_l_err,0.0012,0.0011,0.0008,0.0031
Inclination,87.9239,88.3711,89.5429,89.1845
Inclination_u_err,0.3999,0.1386,0.1787,0.0228
Inclination_l_err,0.2832,0.117,0.1211,0.0174
Epoch,2988.3147,2990.7684,2993.1707,3004.8647
Epoch_u_err,0.0025,0.0017,0.0019,0.0036
Epoch_l_err,0.0025,0.0018,0.002,0.0038
Period,3.0714,4.8679,11.0247,26.5848
Period_u_err,0.0002,0.0002,0.0006,0.0029
Period_l_err,0.0002,0.0002,0.0006,0.0029
Rp,1.28,1.57,1.98,1.8
a,15.4,21.0,36.2,65.1
