#Spectral type: A0V
#desired params: z=0.0 T=9520 log_g=4.14
#real params: z=0.0 T=9500 log_g=4.00
#min=506.000000 max=1600000.000000
5.060000e+02 1.786569e-08
5.120000e+02 3.167252e-08
5.200000e+02 5.868718e-08
5.300000e+02 1.241601e-07
5.400000e+02 2.525618e-07
5.500000e+02 5.054789e-07
5.600000e+02 9.846888e-07
5.700000e+02 1.875188e-06
5.800000e+02 3.479605e-06
5.900000e+02 6.393378e-06
6.000000e+02 1.147144e-05
6.100000e+02 2.023471e-05
6.200000e+02 3.507494e-05
6.300000e+02 5.983076e-05
6.400000e+02 1.004829e-04
6.500000e+02 1.664391e-04
6.580001e+02 2.466005e-04
6.650000e+02 3.451633e-04
6.750000e+02 5.522403e-04
6.850000e+02 8.725679e-04
6.950000e+02 1.361385e-03
7.050000e+02 2.096092e-03
7.160000e+02 3.334354e-03
7.260000e+02 5.020585e-03
7.350000e+02 7.190463e-03
7.450000e+02 1.061178e-02
7.550000e+02 1.550805e-02
7.650000e+02 2.244772e-02
7.750000e+02 3.218634e-02
7.850000e+02 4.574197e-02
7.950000e+02 6.429795e-02
8.050000e+02 8.990604e-02
8.150000e+02 1.246136e-01
8.250000e+02 1.712549e-01
8.350000e+02 2.334759e-01
8.450000e+02 3.160731e-01
8.550000e+02 4.246962e-01
8.650000e+02 5.666376e-01
8.750000e+02 7.506316e-01
8.850000e+02 9.885491e-01
8.950000e+02 1.293119e+00
9.050000e+02 1.679918e+00
9.150000e+02 8.548628e+01
9.250000e+02 5.121993e+02
9.350000e+02 7.986871e+02
9.450000e+02 1.201749e+03
9.550000e+02 1.713911e+03
9.650000e+02 2.207851e+03
9.750000e+02 2.137233e+03
9.850000e+02 3.062652e+03
9.950000e+02 3.382992e+03
1.005000e+03 4.338634e+03
1.015000e+03 5.128632e+03
1.025000e+03 4.140494e+03
1.035000e+03 6.679846e+03
1.045000e+03 7.981880e+03
1.055000e+03 9.193979e+03
1.065000e+03 1.007936e+04
1.075000e+03 1.194779e+04
1.085000e+03 1.349570e+04
1.095000e+03 1.457813e+04
1.105000e+03 4.823964e+04
1.115000e+03 1.403287e+05
1.125000e+03 1.865636e+05
1.135000e+03 1.905285e+05
1.145000e+03 1.721059e+05
1.155000e+03 1.716096e+05
1.165000e+03 1.732062e+05
1.175000e+03 1.466455e+05
1.185000e+03 1.233407e+05
1.195000e+03 7.067793e+04
1.205000e+03 7.067984e+04
1.215000e+03 1.699750e+04
1.225000e+03 7.738335e+04
1.235000e+03 1.605549e+05
1.245000e+03 4.536733e+05
1.255000e+03 1.725924e+06
1.265000e+03 2.395433e+06
1.275000e+03 1.153140e+07
1.285000e+03 2.358636e+07
1.295000e+03 2.858346e+07
1.305000e+03 1.707075e+07
1.315000e+03 3.794482e+07
1.325000e+03 4.519371e+07
1.335000e+03 4.109479e+07
1.345000e+03 5.815605e+07
1.355000e+03 5.523048e+07
1.365000e+03 5.028330e+07
1.375000e+03 5.902750e+07
1.385000e+03 5.630458e+07
1.395000e+03 6.307540e+07
1.405000e+03 6.440215e+07
1.415000e+03 5.799153e+07
1.425000e+03 6.700769e+07
1.435000e+03 5.952020e+07
1.442000e+03 6.960955e+07
1.447000e+03 8.119695e+07
1.455000e+03 7.959649e+07
1.465000e+03 6.884528e+07
1.475000e+03 6.712707e+07
1.485000e+03 7.513852e+07
1.495000e+03 8.276009e+07
1.505000e+03 8.569899e+07
1.512000e+03 7.376102e+07
1.517000e+03 8.131510e+07
1.525000e+03 6.906327e+07
1.535000e+03 5.974988e+07
1.545000e+03 8.597475e+07
1.555000e+03 7.462084e+07
1.565000e+03 6.712538e+07
1.575000e+03 8.053774e+07
1.585000e+03 8.777993e+07
1.595000e+03 9.690940e+07
1.605000e+03 8.961008e+07
1.615000e+03 8.582733e+07
1.625000e+03 7.378745e+07
1.635000e+03 8.253409e+07
1.645000e+03 8.938842e+07
1.655000e+03 6.647258e+07
1.665000e+03 8.799448e+07
1.672000e+03 5.468121e+07
1.677000e+03 8.544966e+07
1.685000e+03 9.589079e+07
1.695000e+03 8.445743e+07
1.705000e+03 8.075206e+07
1.715000e+03 8.164986e+07
1.725000e+03 8.022483e+07
1.735000e+03 8.726352e+07
1.745000e+03 8.517997e+07
1.755000e+03 9.593339e+07
1.765000e+03 7.810636e+07
1.775000e+03 9.023834e+07
1.785000e+03 8.835751e+07
