# lambda (mu)	transmission
     0.950847   0.00236686
     0.951453   0.00271642
     0.952058   0.00274274
     0.952664   0.00267276
     0.953269   0.00251603
     0.953875   0.00264338
     0.954480   0.00303175
     0.955086   0.00282454
     0.955691   0.00311420
     0.956297   0.00293985
     0.956902   0.00264350
     0.957507   0.00285739
     0.958113   0.00284506
     0.958718   0.00313748
     0.959324   0.00362494
     0.959929   0.00331395
     0.960535   0.00343129
     0.961140   0.00318557
     0.961746   0.00349088
     0.962351   0.00336356
     0.962957   0.00378465
     0.963562   0.00379000
     0.964168   0.00394682
     0.964773   0.00421106
     0.965379   0.00397468
     0.965984   0.00409700
     0.966589   0.00432713
     0.967195   0.00432489
     0.967800   0.00467284
     0.968406   0.00456356
     0.969011   0.00527919
     0.969617   0.00292755
     0.970222    0.0168804
     0.970828   0.00890870
     0.971433   0.00491971
     0.972039   0.00521105
     0.972644   0.00532651
     0.973250   0.00554223
     0.973855   0.00575780
     0.974461   0.00577036
     0.975066   0.00604150
     0.975671   0.00622243
     0.976277   0.00628430
     0.976882   0.00611053
     0.977488   0.00686109
     0.978093   0.00676320
     0.978699   0.00682022
     0.979304   0.00704372
     0.979910   0.00742766
     0.980515   0.00770607
     0.981121   0.00788713
     0.981726   0.00799680
     0.982332   0.00826420
     0.982937   0.00868883
     0.983543   0.00920262
     0.984148   0.00940020
     0.984753   0.00968751
     0.985359    0.0102601
     0.985964    0.0107737
     0.986570    0.0115733
     0.987175    0.0121274
     0.987781    0.0126133
     0.988386    0.0133885
     0.988992    0.0142986
     0.989597    0.0149659
     0.990203    0.0162158
     0.990808    0.0174042
     0.991414    0.0187718
     0.992019    0.0199497
     0.992625    0.0218800
     0.993230    0.0230886
     0.993836    0.0250115
     0.994441    0.0274559
     0.995046    0.0294942
     0.995652    0.0326243
     0.996257    0.0356993
     0.996863    0.0390265
     0.997468    0.0429338
     0.998074    0.0475487
     0.998679    0.0532702
     0.999285    0.0609182
     0.999890    0.0660901
      1.00050    0.0740848
      1.00110    0.0830982
      1.00171    0.0935053
      1.00231     0.106256
      1.00292     0.121065
      1.00352     0.134215
      1.00413     0.152128
      1.00473     0.172202
      1.00534     0.194377
      1.00594     0.219266
      1.00655     0.247808
      1.00716     0.276236
      1.00776     0.304987
      1.00837     0.338468
      1.00897     0.372135
      1.00958     0.405069
      1.01018     0.437037
      1.01079     0.467711
      1.01139     0.495197
      1.01200     0.519252
      1.01261     0.541203
      1.01321     0.558714
      1.01382     0.572061
      1.01442     0.583691
      1.01503     0.586731
      1.01563     0.589075
      1.01624     0.590529
      1.01684     0.588092
      1.01745     0.585237
      1.01805     0.581023
      1.01866     0.577595
      1.01927     0.572587
      1.01987     0.567893
      1.02048     0.565811
      1.02108     0.563255
      1.02169     0.561147
      1.02229     0.561008
      1.02290     0.560987
      1.02350     0.561849
      1.02411     0.563519
      1.02471     0.566042
      1.02532     0.568796
      1.02593     0.573179
      1.02653     0.575507
      1.02714     0.579441
      1.02774     0.581012
      1.02835     0.583442
      1.02895     0.585279
      1.02956     0.584307
      1.03016     0.582371
      1.03077     0.579827
      1.03137     0.576625
      1.03198     0.574019
      1.03259     0.570777
      1.03319     0.567025
      1.03380     0.566666
      1.03440     0.557791
      1.03501     0.555517
      1.03561     0.552701
      1.03622     0.550006
      1.03682     0.549690
      1.03743     0.550264
      1.03803     0.552232
      1.03864     0.553258
      1.03925     0.556805
      1.03985     0.557955
      1.04046     0.572213
      1.04106     0.580797
      1.04167     0.576312
      1.04227     0.584191
      1.04288     0.589261
      1.04348     0.595111
      1.04409     0.601798
      1.04469     0.607859
      1.04530     0.612803
      1.04591     0.617885
      1.04651     0.620740
      1.04712     0.622248
      1.04772     0.622447
      1.04833     0.621722
      1.04893     0.618704
      1.04954     0.613680
      1.05014     0.606650
      1.05075     0.596559
      1.05136     0.585681
      1.05196     0.571166
      1.05257     0.554554
      1.05317     0.534280
      1.05378     0.511189
      1.05438     0.487363
      1.05499     0.461273
      1.05559     0.434003
      1.05620     0.405246
      1.05680     0.375555
      1.05741     0.347344
      1.05802     0.319551
      1.05862     0.292008
      1.05923     0.266364
      1.05983     0.242006
      1.06044     0.219147
      1.06104     0.197881
      1.06165     0.178065
      1.06225     0.160762
      1.06286     0.145914
      1.06346     0.129456
      1.06407     0.126410
      1.06468     0.111445
      1.06528    0.0960197
      1.06589    0.0873303
      1.06649    0.0789758
      1.06710    0.0720155
      1.06770    0.0652765
      1.06831    0.0593703
      1.06891    0.0538749
      1.06952    0.0492164
      1.07012    0.0451814
      1.07073    0.0417635
      1.07134    0.0380609
      1.07194    0.0351186
      1.07255    0.0324693
      1.07315    0.0300248
      1.07376    0.0278849
      1.07436    0.0257852
      1.07497    0.0243306
      1.07557    0.0224330
      1.07618    0.0209074
      1.07678    0.0198004
      1.07739    0.0189140
      1.07800    0.0175866
      1.07860    0.0162735
      1.07921    0.0155507
      1.07981    0.0138278
      1.08042    0.0191493
      1.08102    0.0148964
      1.08163    0.0124392
      1.08223    0.0118549
      1.08284    0.0110808
      1.08345    0.0107882
      1.08405    0.0101856
      1.08466    0.0100122
      1.08526   0.00972062
      1.08587   0.00921210
      1.08647   0.00881513
      1.08708   0.00848548
      1.08768   0.00821616
      1.08829   0.00760128
      1.08889   0.00741488
      1.08950   0.00723361
      1.09011   0.00698317
      1.09071   0.00679646
      1.09132   0.00662463
      1.09192   0.00642744
      1.09253   0.00634572
      1.09313   0.00583271
      1.09374   0.00604266
      1.09434   0.00594249
      1.09495   0.00592561
      1.09555   0.00615217
      1.09616   0.00575494
      1.09677   0.00568339
      1.09737   0.00554073
      1.09798   0.00531070
      1.09858   0.00518504
      1.09919   0.00532275
      1.09979   0.00524706
      1.10040   0.00501373
      1.10100   0.00506891
      1.10161   0.00482412
      1.10221   0.00472872
      1.10282   0.00459233
      1.10343   0.00452853
      1.10403   0.00449220
      1.10464   0.00445506
      1.10524   0.00478754
      1.10585   0.00376709
      1.10645    0.0145830
      1.10706    0.0102635
      1.10766   0.00346883
      1.10827   0.00447075
      1.10887   0.00408732
      1.10948   0.00418301
      1.11009   0.00401975
      1.11069   0.00405383
      1.11130   0.00406121
      1.11190   0.00412328
      1.11251   0.00417555
      1.11311   0.00394118
      1.11372   0.00391272
      1.11432   0.00408692
      1.11493   0.00408670
      1.11553   0.00396875
      1.11614   0.00384348
      1.11675   0.00380417
      1.11735   0.00376266
      1.11796   0.00388637
      1.11856   0.00382553
      1.11917   0.00364737
      1.11977   0.00368479
