#x_pix	wavelength
80.9790873358	85.6514861838
71.0396206954	76.3066884877
65.5176947841	70.9546679891
140.940334216	143.465417849
127.167150765	130.266117041
233.575616627	233.98580946
227.627820548	227.935465173
213.552857639	214.323241832
312.976960543	312.222650229
292.323198085	291.385509073
260.441771673	260.441771673
365.092439516	364.086139113
413.468044355	412.685874496
605.461013105	608.479914315
620.555519153	623.574420363
723.198160282	728.7328125
758.418674395	764.456476815
779.047832661	785.085635081
947.804410282	949.743825605
