Property,b,c,d,01
Rp/Rs,0.0248,0.0302,0.038,0.037
Rp/Rs_u_err,0.0009,0.0008,0.0005,0.0014
Rp/Rs_l_err,0.0009,0.0008,0.0006,0.0014
Inclination,87.6019,88.1634,89.5115,89.1719
Inclination_u_err,0.1747,0.0863,0.0945,0.0086
Inclination_l_err,0.1469,0.0753,0.0791,0.0081
Epoch,2988.3133,2990.769,2993.172,3004.8654
Epoch_u_err,0.0017,0.0014,0.0011,0.0026
Epoch_l_err,0.0017,0.0013,0.0012,0.0026
Period,3.0715,4.8678,11.0242,26.5853
Period_u_err,0.0001,0.0002,0.0004,0.0023
Period_l_err,0.0001,0.0002,0.0004,0.0022
Rp,1.24,1.51,1.91,1.86
a,15.4,21.0,36.2,65.1
