Property,b,c,d,01
Rp/Rs,0.0254,0.0315,0.0396,0.0371
Rp/Rs_u_err,0.001,0.0009,0.0007,0.0014
Rp/Rs_l_err,0.0009,0.0009,0.0006,0.0014
Inclination,87.9973,88.4314,89.615,89.1728
Inclination_u_err,0.2946,0.1313,0.1941,0.0108
Inclination_l_err,0.2439,0.1144,0.1178,0.0099
Epoch,2988.3141,2990.7691,2993.1715,3004.865
Epoch_u_err,0.0019,0.0015,0.0013,0.003
Epoch_l_err,0.0021,0.0015,0.0014,0.0032
Period,3.0715,4.8677,11.0243,26.5854
Period_u_err,0.0001,0.0002,0.0005,0.0028
Period_l_err,0.0001,0.0002,0.0005,0.0025
