Property,b,c,d,01
Rp/Rs,0.0259,0.0315,0.0393,0.0372
Rp/Rs_u_err,0.0018,0.0018,0.0013,0.0016
Rp/Rs_l_err,0.0017,0.0019,0.0012,0.0016
Inclination,88.3684,88.4014,89.7196,89.1941
Inclination_u_err,1.028,0.295,0.2467,0.0249
Inclination_l_err,0.5227,0.2046,0.2519,0.0198
Epoch,2988.3134,2990.7689,2993.1723,3004.8651
Epoch_u_err,0.0038,0.0031,0.0028,0.0062
Epoch_l_err,0.0038,0.0031,0.0026,0.0067
Period,3.0715,4.8678,11.0241,26.5854
Period_u_err,0.0003,0.0004,0.0008,0.0053
Period_l_err,0.0003,0.0004,0.0009,0.0049
Rp,1.29,1.57,1.96,1.85
a,15.4,21.0,36.2,65.1
