Property,b,c,d,01
Rp/Rs,0.0261,0.0313,0.039,0.0366
Rp/Rs_u_err,0.0007,0.0007,0.0005,0.0014
Rp/Rs_l_err,0.0008,0.0007,0.0005,0.0013
Inclination,87.737,88.3283,89.735,89.1897
Inclination_u_err,0.1782,0.0874,0.2029,0.0104
Inclination_l_err,0.146,0.0786,0.1235,0.0096
Epoch,2988.315,2990.7681,2993.172,3004.8634
Epoch_u_err,0.0016,0.0012,0.0011,0.0027
Epoch_l_err,0.0015,0.0012,0.0011,0.0029
Period,3.0714,4.8678,11.0243,26.5861
Period_u_err,0.0001,0.0001,0.0004,0.0022
Period_l_err,0.0001,0.0001,0.0004,0.002
Rp,1.3,1.56,1.94,1.82
a,15.4,21.0,36.2,65.1
