Property,b,c,d,01
Rp/Rs,0.0259,0.0305,0.0401,0.037
Rp/Rs_u_err,0.0017,0.0018,0.0012,0.0016
Rp/Rs_l_err,0.0017,0.0017,0.0011,0.0016
Inclination,88.1607,88.5072,89.7426,89.1933
Inclination_u_err,0.6721,0.3393,0.2297,0.0247
Inclination_l_err,0.4134,0.2416,0.2377,0.0211
Epoch,2988.3121,2990.7684,2993.1726,3004.8646
Epoch_u_err,0.0032,0.0032,0.0026,0.0066
Epoch_l_err,0.0033,0.0033,0.0026,0.0066
Period,3.0716,4.868,11.0237,26.5854
Period_u_err,0.0002,0.0004,0.0008,0.0054
Period_l_err,0.0002,0.0004,0.0008,0.0055
Rp,1.3,1.53,2.01,1.86
a,15.4,21.0,36.2,65.1
