Nested Sampling Global Log-Evidence           :   -0.636922897782527215E+02  +/-    0.166666046432844106E+00
Nested Importance Sampling Global Log-Evidence:   -0.682749988556515603E+02  +/-    0.827977476856290966E-02

Dim No.       Mean        Sigma
   1    0.390911733886135038E+00    0.320723925768520157E-01
   2    0.253460744755382827E+00    0.610890078952639956E-01
   3    0.991348015745524336E+01    0.372250657220405790E+00
   4   -0.243729845813148160E+00    0.122583096511324333E+00
   5    0.753351194955475449E+02    0.198546290174868356E+00
   6    0.206273817822956451E+00    0.108074573078624336E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.339272774907411090E+00
   2    0.328598617489611444E+00
   3    0.101497054854890401E+02
   4   -0.269470744262887862E+00
   5    0.753465889816614123E+02
   6    0.144766531160108181E+00

MAP Parameters
Dim No.        Parameter
   1    0.339272774907411090E+00
   2    0.328598617489611444E+00
   3    0.101497054854890401E+02
   4   -0.269470744262887862E+00
   5    0.753465889816614123E+02
   6    0.144766531160108181E+00
