Nested Sampling Global Log-Evidence           :   -0.607808481755941941E+02  +/-    0.150806005237867302E+00
Nested Importance Sampling Global Log-Evidence:   -0.630599255343283289E+02  +/-    0.276462018865949906E-01

Dim No.       Mean        Sigma
   1    0.468105982474699367E+00    0.113955577758388504E-01
   2    0.996625843857262339E+01    0.378867745083576402E+00
   3   -0.104182408856766218E+00    0.929193429805608151E-01
   4    0.753274566647096009E+02    0.199335443042350041E+00
   5    0.353506414656701018E+00    0.102108889611736975E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.464637106047718018E+00
   2    0.102784888854539282E+02
   3   -0.148313853355790393E-01
   4    0.752910524740513125E+02
   5    0.280588421555044043E+00

MAP Parameters
Dim No.        Parameter
   1    0.464637106047718018E+00
   2    0.102784888854539282E+02
   3   -0.148313853355790393E-01
   4    0.752910524740513125E+02
   5    0.280588421555044043E+00
