lhood_heb L_heb pr_heb lhood_heb_Px2 L_heb_Px2 pr_heb_Px2 lhood_eb L_eb pr_eb lhood_eb_Px2 L_eb_Px2 pr_eb_Px2 lhood_beb L_beb pr_beb lhood_beb_Px2 L_beb_Px2 pr_beb_Px2 lhood_pl L_pl pr_pl fpV fp FPP
6.97e-03 1.10e-06 1.90e-04 1.43e-01 4.61e-07 7.99e-05 5.46e-02 1.08e-04 1.86e-02 8.27e-02 5.60e-06 9.69e-04 5.66e-16 2.73e-21 4.72e-19 0.00e+00 0.00e+00 0.00e+00 1.62e+00 5.66e-03 9.80e-01 0.669 0.166 1.99e-02
2.62e-02 4.11e-06 7.08e-04 6.49e-02 2.22e-07 3.82e-05 6.93e-02 1.37e-04 2.36e-02 1.59e-01 1.09e-05 1.88e-03 3.01e-03 1.39e-08 2.40e-06 0.00e+00 0.00e+00 0.00e+00 1.62e+00 5.65e-03 9.74e-01 0.889 0.166 2.62e-02
2.86e-02 4.50e-06 7.68e-04 1.38e-01 4.24e-07 7.24e-05 6.46e-02 1.28e-04 2.19e-02 1.25e-01 9.04e-06 1.54e-03 2.54e-03 1.32e-08 2.25e-06 0.00e+00 0.00e+00 0.00e+00 1.64e+00 5.72e-03 9.76e-01 0.822 0.166 2.43e-02
3.05e-02 4.81e-06 8.24e-04 1.56e-01 4.93e-07 8.44e-05 6.67e-02 1.32e-04 2.25e-02 1.41e-01 9.66e-06 1.65e-03 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.63e+00 5.69e-03 9.75e-01 0.85 0.166 2.51e-02
3.91e-02 6.18e-06 1.08e-03 4.41e-02 1.38e-07 2.40e-05 5.75e-02 1.14e-04 1.99e-02 9.93e-02 6.86e-06 1.20e-03 1.51e-03 8.47e-09 1.48e-06 0.00e+00 0.00e+00 0.00e+00 1.61e+00 5.61e-03 9.78e-01 0.748 0.166 2.22e-02
2.99e-02 4.74e-06 8.29e-04 1.07e-01 3.55e-07 6.21e-05 6.86e-02 1.36e-04 2.38e-02 1.32e-01 9.11e-06 1.59e-03 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.60e+00 5.57e-03 9.74e-01 0.891 0.166 2.63e-02
2.76e-02 4.34e-06 7.48e-04 9.92e-02 3.05e-07 5.25e-05 6.87e-02 1.36e-04 2.34e-02 1.28e-01 8.77e-06 1.51e-03 1.54e-03 8.92e-09 1.54e-06 0.00e+00 0.00e+00 0.00e+00 1.62e+00 5.65e-03 9.74e-01 0.872 0.166 2.58e-02
2.84e-02 4.48e-06 7.57e-04 1.24e-01 4.29e-07 7.26e-05 6.08e-02 1.20e-04 2.03e-02 1.22e-01 8.25e-06 1.39e-03 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.66e+00 5.78e-03 9.77e-01 0.761 0.166 2.26e-02
2.71e-02 4.16e-06 7.15e-04 1.30e-01 3.97e-07 6.81e-05 5.50e-02 1.09e-04 1.87e-02 7.88e-02 5.61e-06 9.63e-04 4.25e-03 1.97e-08 3.38e-06 0.00e+00 0.00e+00 0.00e+00 1.64e+00 5.70e-03 9.80e-01 0.689 0.166 2.05e-02
2.65e-02 4.12e-06 7.09e-04 7.69e-02 2.46e-07 4.22e-05 6.07e-02 1.20e-04 2.06e-02 1.25e-01 8.93e-06 1.53e-03 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 1.63e+00 5.69e-03 9.77e-01 0.771 0.166 2.28e-02
